% Moku:Go Frequency Response Analyzer
% Measurement mode: In / Out (dB)
% Channel 1 (on), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Channel 2 (off), DC, 30 MHz, 1 MOhm, 10 Vpp, amplitude 100 mVpp (on), offset 0.000 0 V (off), phase 0.000 deg
% Logarithmic sweep from 20.00000 MHz to 10.00000 mHz with 512 pts, dynamic amplitude mode off, measuring fundamental, delay compensation 935.0 ns (auto), normalization off
% Averaging time 2.00 ms, 1 cycles; Settling time 100 us, 1 cycles
% 
% Acquired 2026-04-09 T 12:29:47 -0700
% Frequency (Hz), Channel 1 Magnitude (dB), Channel 1 Phase (deg)
2.13701638e+00, -3.0428e-01, -9.6691e+00
2.04930324e+00, -2.3935e-01, -9.2121e+00
1.96519026e+00, -1.9361e-01, -8.9461e+00
1.88452967e+00, -3.2461e-01, -8.7061e+00
1.80717976e+00, -2.0656e-01, -8.1194e+00
1.73300466e+00, -1.1671e-01, -7.9268e+00
1.66187405e+00, -9.7108e-02, -7.5767e+00
1.59366297e+00, -1.1367e-01, -7.2664e+00
1.52825159e+00, -2.3717e-01, -6.9334e+00
1.46552500e+00, -9.2225e-02, -6.7132e+00
1.40537301e+00, -8.9847e-02, -6.4521e+00
1.34768993e+00, -1.3143e-01, -6.1081e+00
1.29237444e+00, -1.6028e-01, -5.7408e+00
1.23932935e+00, -6.7813e-02, -5.5294e+00
1.18846148e+00, -1.7157e-01, -5.3854e+00
1.13968147e+00, -2.2185e-01, -5.2264e+00
1.09290361e+00, -1.5854e-01, -4.9258e+00
1.04804574e+00, -3.3946e-02, -4.8488e+00
1.00502904e+00, -4.1482e-02, -4.6600e+00
9.63777955e-01, -1.3135e-01, -4.4525e+00
9.24220004e-01, -1.0717e-01, -4.2042e+00
8.86285695e-01, -2.1743e-01, -4.1197e+00
8.49908388e-01, -2.1511e-01, -3.8527e+00
8.15024175e-01, -8.5515e-03, -3.7867e+00
7.81571774e-01, -7.1027e-03, -3.6805e+00
7.49492415e-01, -1.3536e-01, -3.4446e+00
7.18729743e-01, -1.3227e-01, -3.2876e+00
6.89229715e-01, -1.8238e-01, -3.1235e+00
6.60940506e-01, -1.3074e-01, -3.1497e+00
6.33812419e-01, 3.8797e-02, -2.9358e+00
6.07797795e-01, -1.8940e-01, -2.8386e+00
5.82850933e-01, -7.2731e-02, -2.8234e+00
5.58928006e-01, -1.4491e-02, -2.4876e+00
5.35986988e-01, -1.8985e-03, -2.4588e+00
5.13987577e-01, 1.9911e-02, -2.3547e+00
4.92891125e-01, -1.8004e-01, -2.2583e+00
4.72660569e-01, -1.8011e-01, -2.0847e+00
4.53260370e-01, -1.6205e-01, -2.0576e+00
4.34656446e-01, 5.2075e-02, -2.0564e+00
4.16816114e-01, -1.7724e-01, -1.8942e+00
3.99708033e-01, 4.3761e-03, -1.7529e+00
3.83302147e-01, -2.5174e-02, -1.6873e+00
3.67569635e-01, -1.1954e-01, -1.6897e+00
3.52482859e-01, -5.2714e-02, -1.6365e+00
3.38015315e-01, -1.2233e-01, -1.6046e+00
3.24141587e-01, -2.0078e-01, -1.3692e+00
3.10837301e-01, -1.8542e-01, -1.4945e+00
2.98079086e-01, -1.0371e-01, -1.3579e+00
2.85844527e-01, -1.8199e-01, -1.3595e+00
2.74112131e-01, -9.4841e-02, -1.4475e+00
2.62861288e-01, -1.9179e-01, -1.2268e+00
2.52072232e-01, -5.5387e-02, -1.2188e+00
2.41726010e-01, -1.5699e-01, -1.1534e+00
2.31804445e-01, -1.6001e-01, -1.0200e+00
2.22290107e-01, -1.8192e-01, -9.6439e-01
2.13166282e-01, -2.4633e-02, -1.0557e+00
2.04416941e-01, -1.3313e-01, -8.2833e-01
1.96026715e-01, -2.1821e-01, -8.0437e-01
1.87980862e-01, -1.7699e-02, -8.6546e-01
1.80265249e-01, -7.0455e-02, -7.5624e-01
1.72866321e-01, -3.8256e-02, -8.0880e-01
1.65771079e-01, -9.1018e-02, -6.2917e-01
1.58967059e-01, 1.9794e-02, -9.1354e-01
1.52442308e-01, -6.6626e-02, -6.6905e-01
1.46185363e-01, -1.8146e-01, -7.1469e-01
1.40185232e-01, -1.1154e-01, -6.4902e-01
1.34431375e-01, -1.8046e-01, -5.7175e-01
1.28913683e-01, 9.4192e-02, -6.2543e-01
