# Moku:Go Oscilloscope
# Channel A (Input 1, on), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Channel B (Input 2, off), DC, 30 MHz, 1 MOhm, 10 Vpp, 1 x probe attenuation
# Time span 320.6 us, time offset -160.3 us, Normal acquisition mode, no averaging
# Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
# Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
# Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
# 
# Acquired 2026-04-28 T 13:02:49 -0700
# Time (s), Channel A (Input 1) (V)
1.661120000000e-04, 2.063996e-01
1.664320000000e-04, 2.063996e-01
1.667520000000e-04, 2.051783e-01
1.670720000000e-04, 2.051783e-01
1.673920000000e-04, 2.051783e-01
1.677120000000e-04, 2.051783e-01
1.680320000000e-04, 2.051783e-01
1.683520000000e-04, 2.039570e-01
1.686720000000e-04, 2.039570e-01
1.689920000000e-04, 2.051783e-01
1.693120000000e-04, 2.051783e-01
1.696320000000e-04, 2.039570e-01
1.699520000000e-04, 2.063996e-01
1.702720000000e-04, 2.051783e-01
1.705920000000e-04, 2.027357e-01
1.709120000000e-04, 2.051783e-01
1.712320000000e-04, 2.063996e-01
1.715520000000e-04, 2.051783e-01
1.718720000000e-04, 2.039570e-01
1.721920000000e-04, 2.051783e-01
1.725120000000e-04, 2.063996e-01
1.728320000000e-04, 2.063996e-01
1.731520000000e-04, 2.039570e-01
1.734720000000e-04, 2.039570e-01
1.737920000000e-04, 2.051783e-01
1.741120000000e-04, 2.051783e-01
1.744320000000e-04, 2.051783e-01
1.747520000000e-04, 2.051783e-01
1.750720000000e-04, 2.039570e-01
1.753920000000e-04, 2.051783e-01
1.757120000000e-04, 2.039570e-01
1.760320000000e-04, 2.051783e-01
1.763520000000e-04, 2.039570e-01
1.766720000000e-04, 2.051783e-01
1.769920000000e-04, 2.051783e-01
1.773120000000e-04, 2.039570e-01
1.776320000000e-04, 2.039570e-01
1.779520000000e-04, 2.051783e-01
1.782720000000e-04, 2.039570e-01
1.785920000000e-04, 2.063996e-01
1.789120000000e-04, 2.039570e-01
1.792320000000e-04, 2.039570e-01
1.795520000000e-04, 2.039570e-01
1.798720000000e-04, 2.039570e-01
1.801920000000e-04, 2.039570e-01
1.805120000000e-04, 2.027357e-01
1.808320000000e-04, 2.063996e-01
1.811520000000e-04, 2.051783e-01
1.814720000000e-04, 2.039570e-01
1.817920000000e-04, 2.039570e-01
1.821120000000e-04, 2.039570e-01
1.824320000000e-04, 2.051783e-01
1.827520000000e-04, 2.039570e-01
1.830720000000e-04, 2.039570e-01
1.833920000000e-04, 2.039570e-01
1.837120000000e-04, 2.039570e-01
1.840320000000e-04, 2.027357e-01
1.843520000000e-04, 2.051783e-01
1.846720000000e-04, 2.051783e-01
1.849920000000e-04, 2.051783e-01
1.853120000000e-04, 2.051783e-01
1.856320000000e-04, 2.051783e-01
1.859520000000e-04, 2.039570e-01
1.862720000000e-04, 2.051783e-01
1.865920000000e-04, 2.039570e-01
1.869120000000e-04, 2.039570e-01
1.872320000000e-04, 2.039570e-01
1.875520000000e-04, 2.051783e-01
1.878720000000e-04, 2.051783e-01
1.881920000000e-04, 2.063996e-01
1.885120000000e-04, 2.051783e-01
1.888320000000e-04, 2.051783e-01
1.891520000000e-04, 2.051783e-01
1.894720000000e-04, 2.039570e-01
1.897920000000e-04, 2.051783e-01
1.901120000000e-04, 2.039570e-01
1.904320000000e-04, 2.039570e-01
1.907520000000e-04, 2.027357e-01
1.910720000000e-04, 2.039570e-01
1.913920000000e-04, 2.051783e-01
1.917120000000e-04, 2.039570e-01
1.920320000000e-04, 2.039570e-01
1.923520000000e-04, 2.051783e-01
1.926720000000e-04, 2.039570e-01
1.929920000000e-04, 2.027357e-01
1.933120000000e-04, 2.039570e-01
1.936320000000e-04, 2.039570e-01
1.939520000000e-04, 2.039570e-01
1.942720000000e-04, 2.039570e-01
1.945920000000e-04, 2.039570e-01
1.949120000000e-04, 2.039570e-01
1.952320000000e-04, 2.051783e-01
1.955520000000e-04, 2.027357e-01
1.958720000000e-04, 2.039570e-01
1.961920000000e-04, 2.039570e-01
1.965120000000e-04, 2.039570e-01
1.968320000000e-04, 2.051783e-01
1.971520000000e-04, 2.039570e-01
1.974720000000e-04, 2.051783e-01
1.977920000000e-04, 2.039570e-01
1.981120000000e-04, 2.039570e-01
1.984320000000e-04, 2.027357e-01
1.987520000000e-04, 2.051783e-01
1.990720000000e-04, 2.051783e-01
1.993920000000e-04, 2.051783e-01
1.997120000000e-04, 2.039570e-01
2.000320000000e-04, 2.039570e-01
2.003520000000e-04, 2.051783e-01
2.006720000000e-04, 2.039570e-01
2.009920000000e-04, 2.039570e-01
2.013120000000e-04, 2.051783e-01
2.016320000000e-04, 2.051783e-01
2.019520000000e-04, 2.027357e-01
2.022720000000e-04, 2.051783e-01
2.025920000000e-04, 2.039570e-01
2.029120000000e-04, 2.051783e-01
2.032320000000e-04, 2.051783e-01
2.035520000000e-04, 2.039570e-01
2.038720000000e-04, 2.039570e-01
2.041920000000e-04, 2.051783e-01
2.045120000000e-04, 2.027357e-01
2.048320000000e-04, 2.051783e-01
2.051520000000e-04, 2.051783e-01
2.054720000000e-04, 2.051783e-01
2.057920000000e-04, 2.051783e-01
2.061120000000e-04, 2.039570e-01
2.064320000000e-04, 2.051783e-01
2.067520000000e-04, 2.039570e-01
2.070720000000e-04, 2.051783e-01
2.073920000000e-04, 2.039570e-01
2.077120000000e-04, 2.039570e-01
2.080320000000e-04, 2.039570e-01
2.083520000000e-04, 2.039570e-01
2.086720000000e-04, 2.051783e-01
2.089920000000e-04, 2.027357e-01
2.093120000000e-04, 2.039570e-01
2.096320000000e-04, 2.039570e-01
2.099520000000e-04, 2.027357e-01
2.102720000000e-04, 2.027357e-01
2.105920000000e-04, 2.039570e-01
2.109120000000e-04, 2.051783e-01
2.112320000000e-04, 2.039570e-01
2.115520000000e-04, 2.027357e-01
2.118720000000e-04, 2.039570e-01
2.121920000000e-04, 2.027357e-01
2.125120000000e-04, 2.039570e-01
2.128320000000e-04, 2.051783e-01
2.131520000000e-04, 2.039570e-01
2.134720000000e-04, 2.051783e-01
2.137920000000e-04, 2.039570e-01
2.141120000000e-04, 2.039570e-01
2.144320000000e-04, 2.039570e-01
2.147520000000e-04, 2.039570e-01
2.150720000000e-04, 2.027357e-01
2.153920000000e-04, 2.027357e-01
2.157120000000e-04, 2.027357e-01
2.160320000000e-04, 2.051783e-01
2.163520000000e-04, 2.027357e-01
2.166720000000e-04, 2.039570e-01
2.169920000000e-04, 2.039570e-01
2.173120000000e-04, 2.039570e-01
